('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         784328 function calls (759929 primitive calls) in 1.950 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1282/195    0.004    0.000    0.045    0.000 _parser.py:451(_parse_sub)
     1100    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1058    0.001    0.000    0.001    0.000 _parser.py:311(_class_escape)
     1011    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
     1007    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      998    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      966    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      961    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      950    0.000    0.000    0.001    0.000 _parser.py:448(_uniq)
      929    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
      908    0.004    0.000    0.006    0.000 _compiler.py:241(_optimize_charset)
      908    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
      877    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      877    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      876    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      805    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
      800    0.000    0.000    0.000    0.000 element.py:2160(get)
      799    0.000    0.000    0.001    0.000 typing.py:1368(__setattr__)
      763    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      745    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      737    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      713    0.001    0.000    0.002    0.000 filter.py:612(_attribute_match)
      713    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
  709/652    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      676    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      610    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      585    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      555    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
  548/543    0.006    0.000    0.038    0.000 {built-in method builtins.__build_class__}
      541    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      534    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      529    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      528    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      507    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      502    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
      491    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      491    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      472    0.001    0.000    0.002    0.000 css_types.py:41(__init__)
    467/8    0.000    0.000    0.225    0.028 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      430    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      423    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      412    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      390    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      379    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      371    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
      362    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
