('Total Revenue', '395,760,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         783964 function calls (759609 primitive calls) in 1.528 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9220    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
    171/1    0.001    0.000    1.528    1.528 {built-in method builtins.exec}
     2742    0.001    0.000    0.001    0.000 element.py:1812(is_empty_element)
     2787    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
      713    0.001    0.000    0.002    0.000 filter.py:612(_attribute_match)
      908    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     5976    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       21    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      273    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
     8936    0.001    0.000    0.001    0.000 typing.py:2367(cast)
      169    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
      264    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    224/4    0.001    0.000    0.205    0.051 <frozen importlib._bootstrap>:1349(_find_and_load)
     6216    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
      325    0.001    0.000    0.002    0.000 css_parser.py:1094(selector_iter)
      169    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      264    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      293    0.001    0.000    1.076    0.004 socket.py:706(readinto)
        2    0.001    0.000    0.001    0.000 feedparser.py:472(_parse_headers)
     1311    0.001    0.000    0.001    0.000 filter.py:623(_match_attribute_value_helper)
      195    0.001    0.000    0.006    0.000 _compiler.py:514(_compile_info)
     1058    0.001    0.000    0.001    0.000 _parser.py:311(_class_escape)
      338    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
       17    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
      287    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
     3744    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      950    0.000    0.000    0.001    0.000 _parser.py:448(_uniq)
      293    0.000    0.000    1.074    0.004 ssl.py:1129(read)
       63    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      217    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
     2743    0.000    0.000    0.000    0.000 __init__.py:290(can_be_empty_element)
     2562    0.000    0.000    0.001    0.000 filter.py:292(matches_string)
    223/4    0.000    0.000    0.205    0.051 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     3199    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     3826    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     2743    0.000    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     2854    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       19    0.000    0.000    0.144    0.008 {method 'join' of 'bytes' objects}
     4260    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     3275    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      197    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     5486    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
      195    0.000    0.000    0.077    0.000 _compiler.py:743(compile)
     2570    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     2632    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      264    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     2481    0.000    0.000    0.001    0.000 css_parser.py:307(match)
      805    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
    52/14    0.000    0.000    0.008    0.001 css_parser.py:911(parse_selectors)
     1369    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
    467/8    0.000    0.000    0.202    0.025 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      799    0.000    0.000    0.001    0.000 typing.py:1368(__setattr__)
    197/4    0.000    0.000    0.204    0.051 <frozen importlib._bootstrap>:911(_load_unlocked)
      264    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
       10    0.000    0.000    0.002    0.000 enum.py:894(_convert_)
       39    0.000    0.000    0.143    0.004 response.py:1173(read_chunked)
     2742    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     1011    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
      195    0.000    0.000    0.046    0.000 _parser.py:970(parse)
       77    0.000    0.000    0.002    0.000 css_parser.py:462(parse_attribute_selector)
      169    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     2566    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     2599    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      929    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
      121    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
     1541    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       22    0.000    0.000    0.464    0.021 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
     1007    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      876    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
     1100    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      193    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
      800    0.000    0.000    0.000    0.000 element.py:2160(get)
     2682    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      169    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
