Error: URL not found or could not fetch data for AAPL
         468058 function calls (444107 primitive calls) in 0.778 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      208    0.000    0.000    0.001    0.000 enum.py:353(__setitem__)
      128    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
     1506    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     2481    0.000    0.000    0.001    0.000 css_parser.py:307(match)
     2222    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       13    0.000    0.000    0.002    0.000 enum.py:894(_convert_)
      249    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     2867    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       50    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
  549/513    0.000    0.000    0.007    0.000 typing.py:426(inner)
      277    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
        7    0.000    0.000    0.000    0.000 {method 'read' of '_ssl._SSLSocket' objects}
       13    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
      764    0.000    0.000    0.001    0.000 _parser.py:371(_escape)
      549    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
      308    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
       40    0.000    0.000    0.085    0.002 {method 'run' of '_contextvars.Context' objects}
      498    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       30    0.000    0.000    0.521    0.017 selectors.py:540(select)
      197    0.000    0.000    0.043    0.000 _parser.py:970(parse)
     1032    0.000    0.000    0.001    0.000 _parser.py:171(__setitem__)
      249    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      747    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      460    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
     3388    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
      759    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
  281/278    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       34    0.000    0.000    0.002    0.000 enum.py:498(__new__)
      102    0.000    0.000    0.003    0.000 typing.py:753(Union)
     1294    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
   249/10    0.000    0.000    0.207    0.021 <frozen importlib._bootstrap_external>:1020(exec_module)
        5    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
      864    0.000    0.000    0.000    0.000 enum.py:1585(_get_value)
      196    0.000    0.000    0.001    0.000 enum.py:1603(__and__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      866    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      460    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       96    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
 1281/915    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      712    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
      277    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
     1217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      249    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
  218/176    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
     1217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      715    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      399    0.000    0.000    0.003    0.000 {built-in method builtins.next}
      306    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      454    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      421    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
      277    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      843    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      275    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      197    0.000    0.000    0.029    0.000 _compiler.py:576(_code)
      419    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
      308    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      331    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      308    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      498    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
     1178    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      996    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      311    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
      249    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
     1985    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1985    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      460    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      460    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       13    0.000    0.000    0.010    0.001 tls.py:150(_call_sslobject_method)
       27    0.000    0.000    0.004    0.000 dataclasses.py:470(add_fns_to_class)
       63    0.000    0.000    0.000    0.000 dataclasses.py:768(_get_field)
      197    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      634    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      153    0.000    0.000    0.000    0.000 dataclasses.py:709(_is_type)
      302    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
       29    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      129    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
     1091    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      102    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
      404    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       76    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       50    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      190    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
     1219    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      536    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
    31/11    0.000    0.000    0.001    0.000 inspect.py:2477(_signature_from_callable)
      312    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      955    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      373    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      561    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      781    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       34    0.000    0.000    0.000    0.000 base_events.py:847(_call_soon)
        6    0.000    0.000    0.000    0.000 selectors.py:517(unregister)
      284    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
  250/244    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       18    0.000    0.000    0.000    0.000 _asyncio.py:446(__exit__)
        9    0.000    0.000    0.001    0.000 _connection.py:260(_process_event)
      516    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       85    0.000    0.000    0.002    0.000 typing.py:1634(__getitem__)
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        4    0.000    0.000    0.001    0.000 _sockets.py:124(connect_tcp)
      526    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
       95    0.000    0.000    0.000    0.000 dataclasses.py:437(add_fn)
       10    0.000    0.000    0.021    0.002 _client.py:1717(_send_single_request)
        1    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
       30    0.000    0.000    0.000    0.000 message.py:421(__setitem__)
        5    0.000    0.000    0.004    0.001 http11.py:65(handle_async_request)
       50    0.000    0.000    0.000    0.000 events.py:36(__init__)
        2    0.000    0.000    0.000    0.000 _headers.py:150(normalize_and_validate)
       55    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
      331    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
  166/107    0.000    0.000    0.064    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      769    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      498    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
    51/21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       38    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
       18    0.000    0.000    0.000    0.000 _asyncio.py:415(__enter__)
      460    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      610    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        6    0.000    0.000    0.001    0.000 _asyncio.py:1246(receive)
        6    0.000    0.000    0.013    0.002 connection.py:105(_connect)
       11    0.000    0.000    0.000    0.000 inspect.py:2373(_signature_from_function)
       36    0.000    0.000    0.001    0.000 typing.py:1207(_generic_class_getitem)
       10    0.000    0.000    0.018    0.002 default.py:374(handle_async_request)
      250    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      212    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
      306    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
        3    0.000    0.000    0.001    0.000 _urlparse.py:213(urlparse)
        4    0.000    0.000    0.000    0.000 base_events.py:461(create_task)
        1    0.000    0.000    0.000    0.000 {method '_wrap_bio' of '_ssl._SSLContext' objects}
  540/333    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
      660    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       98    0.000    0.000    0.000    0.000 _urlparse.py:223(<genexpr>)
      5/3    0.000    0.000    0.000    0.000 _asyncio.py:552(_deliver_cancellation)
       89    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      197    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       40    0.000    0.000    0.085    0.002 events.py:87(_run)
      197    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
        1    0.000    0.000    0.002    0.002 _asyncio.py:1(<module>)
        8    0.000    0.000    0.003    0.000 http11.py:209(_receive_event)
     1067    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      311    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      774    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       30    0.000    0.000    0.000    0.000 selector_events.py:740(_process_events)
       10    0.000    0.000    0.000    0.000 _models.py:144(__init__)
