,Protein,Total lipid (fat),"Carbohydrate, by difference",Total Sugars,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Selenium, Se","Vitamin A, RAE",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total","Choline, total",Vitamin K (phylloquinone),"Folate, DFE","Vitamin B-12, added",Cholesterol,"Fatty acids, total saturated","Manganese, Mn"
fortified wine,0.0008,0.0,0.005890909090909091,0.00094,0.0,0.005384615384615384,0.012222222222222223,0.016666666666666666,0.0096,0.01276595744680851,0.004782608695652174,0.01090909090909091,0.0077777777777777776,1.8181818181818183e-06,0.0,0.0,0.0,0.0025,0.010769230769230769,0.0061875,0.018823529411764704,2.5e-06,0.0013043478260869566,0.0,0.0025,0.0,0.0,0.0,0.0
frangelico,0.2392,0.26474358974358975,0.013818181818181818,0.00544,0.0,0.008461538461538461,0.021666666666666667,0.0,0.0,0.0,0.12739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13666666666666666,0.163,0.0
fruit juice,0.0,0.0,0.04930909090909091,0.02288,0.014285714285714285,0.0,0.017222222222222222,0.0,0.0,0.018936170212765956,0.0026086956521739132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic,0.0,0.0,0.1212,0.0,0.0,0.5130769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gin,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0,0.0032,0.000425531914893617,0.0004347826086956522,0.0036363636363636364,0.023333333333333334,0.0,0.0,0.0,0.0,0.005,0.003076923076923077,0.0008125,0.000588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ginger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goat cheese,0.5,0.41205128205128205,0.0,0.0,0.0,0.5492307692307692,0.0,0.0,0.0,0.0,0.2952173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.0715,0.0
goose,0.0,1.2794871794871794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636366e-06,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.385,0.0
gouda,0.5,0.41205128205128205,0.0,0.0,0.0,0.5492307692307692,0.0,0.0,0.0,0.0,0.40391304347826085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3566666666666667,1.0715,0.0
grains,0.2068,0.0208974358974359,0.27585454545454546,0.00196,0.5392857142857143,0.018461538461538463,0.1461111111111111,0.2619047619047619,0.2656,0.10851063829787234,0.0008695652173913044,0.2409090909090909,0.4077777777777778,0.00025272727272727274,0.0011111111111111111,0.056666666666666664,0.0,0.2633333333333333,0.1930769230769231,0.266875,0.17294117647058824,9.5e-05,0.013217391304347827,0.04916666666666667,0.095,0.0,0.0,0.00985,1.1204347826086956
grand marnier,0.0,0.0,0.2138909090909091,0.10588,0.21071428571428572,0.009230769230769232,0.0,0.0,0.0,0.008723404255319148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
granola,0.2858,0.36628205128205127,0.16883636363636365,0.03572,0.25357142857142856,0.054615384615384614,0.21444444444444444,0.0,0.0,0.0,0.03869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1785,0.0
grape,0.0,0.0,0.04792727272727273,0.02636,0.0,0.0,0.0,0.0,0.0,0.0,0.0013043478260869566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grapefruit,0.0,0.0,0.03930909090909091,0.01982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
green bean,0.0,0.0,0.015018181818181818,0.00166,0.060714285714285714,0.013076923076923076,0.016666666666666666,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ground beef,0.3036,0.3434615384615385,0.0,0.0,0.0,0.013846153846153847,0.08944444444444444,0.0,0.0,0.0,0.029130434782608697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25333333333333335,0.491,0.0
ground lamb,0.3392,0.2633333333333333,0.0,0.0,0.0,0.0,0.08944444444444444,0.0,0.0,0.0,0.030869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25333333333333335,0.4465,0.0
guava,0.012,0.002564102564102564,0.040545454545454544,0.015,0.18571428571428572,0.015384615384615385,0.030555555555555555,0.0,0.0,0.05914893617021277,0.004347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0
halibut,0.4118,0.022564102564102566,0.0,0.0,0.0,0.018461538461538463,0.058888888888888886,0.0,0.0,0.0,0.023043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.0,0.0
ham,0.38,0.04961538461538462,0.005745454545454546,0.00308,0.0,0.006153846153846154,0.04666666666666667,0.047619047619047616,0.2208,0.07893617021276596,0.5,0.16727272727272727,0.13777777777777778,0.0006145454545454545,0.014444444444444444,0.014666666666666666,0.034999999999999996,0.355,0.14692307692307693,0.37875,0.24176470588235294,2.5e-06,0.0328695652173913,0.0,0.0025,0.0,0.18,0.064,0.0
hamburger,0.0706,0.04525641025641026,0.14974545454545454,0.00942,0.125,0.0,0.023333333333333334,0.0,0.0,0.0,0.14304347826086958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0295,0.0
hazelnut,0.1464,0.4065384615384615,0.204,0.09756,0.08571428571428572,0.1123076923076923,0.24388888888888888,0.0,0.0,0.0,0.03173913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.8535,0.0
herb,0.0,0.0,0.0007272727272727272,0.0,0.0,0.0015384615384615385,0.0044444444444444444,0.002380952380952381,0.0,0.0019148936170212765,0.0004347826086956522,0.0036363636363636364,0.016666666666666666,0.0,0.0011111111111111111,0.0,0.0,0.008333333333333333,0.003076923076923077,0.0,0.0,2.5e-06,0.0,0.0,0.0025,0.0,0.0,0.0001,0.019130434782608695
hollywood,0.0,1.0073076923076922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23304347826086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.5355,0.0
hominy/cornmeal/masa,0.029,0.037307692307692306,0.05018181818181818,0.00294,0.08571428571428572,0.007692307692307693,0.03333333333333333,0.0380952380952381,0.0272,0.0019148936170212765,0.21782608695652175,0.09272727272727273,0.03222222222222222,5.272727272727272e-05,0.023333333333333334,0.016666666666666666,0.0,0.0025,0.004615384615384616,0.002,0.021176470588235293,2.5e-06,0.0014782608695652175,0.011666666666666665,0.0025,0.0,0.013333333333333334,0.0505,0.0
honey,0.006,0.0,0.29963636363636365,0.16424,0.007142857142857143,0.004615384615384616,0.023333333333333334,0.004761904761904762,0.0032,0.011063829787234043,0.0017391304347826088,0.02,0.04,1.4545454545454546e-05,0.0,0.0,0.0,0.0,0.02923076923076923,0.0075625,0.01411764705882353,5e-06,0.0009565217391304348,0.0,0.005,0.0,0.0,0.0,0.034782608695652174
honeydew,0.0108,0.0017948717948717949,0.033054545454545455,0.016239999999999997,0.02857142857142857,0.004615384615384616,0.009444444444444445,0.023809523809523808,0.0088,0.04851063829787234,0.00782608695652174,0.008181818181818182,0.02666666666666667,1.2727272727272727e-05,0.0033333333333333335,0.0013333333333333333,0.0,0.03166666666666667,0.009230769230769232,0.026125,0.05176470588235294,4.75e-05,0.0033043478260869567,0.024166666666666666,0.0475,0.0,0.0,0.0019,0.0
