,Protein,Total lipid (fat),"Carbohydrate, by difference",Total Sugars,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Selenium, Se","Vitamin A, RAE",Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total","Choline, total",Vitamin K (phylloquinone),"Folate, DFE","Vitamin B-12, added",Cholesterol,"Fatty acids, total saturated","Manganese, Mn"
lime,0.1764,0.19230769230769232,0.14472727272727273,0.0746,0.02857142857142857,0.03,0.07444444444444444,0.047619047619047616,0.116,0.030425531914893618,0.03434782608695652,0.11363636363636363,0.1288888888888889,0.0003563636363636364,0.12222222222222222,0.056,0.075,0.08083333333333333,0.2053846153846154,0.0081875,0.036470588235294116,9e-05,0.07347826086956522,0.006666666666666667,0.09,0.0,0.8333333333333334,0.1365,0.0
lime juice,0.0,0.0,0.024254545454545456,0.00666,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lingonberry,0.0,0.0,0.16363636363636364,0.09,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liqueur,0.0,0.0014102564102564104,0.12072727272727274,0.06659999999999999,0.0,0.0,0.0022222222222222222,0.0,0.0024,0.000425531914893617,0.0004347826086956522,0.0027272727272727275,0.017777777777777778,3.6363636363636366e-06,0.0,0.0,0.0,0.0033333333333333335,0.006923076923076923,0.0005,0.000588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.418,0.01217948717948718,0.0,0.0,0.0,0.08153846153846153,0.018333333333333333,0.11428571428571428,0.1632,0.05382978723404255,0.2326086956521739,0.40636363636363637,1.9,0.0014636363636363636,0.0011111111111111111,0.07333333333333333,0.0,0.018333333333333333,0.013076923076923076,0.119375,0.06941176470588235,2.25e-05,0.03869565217391304,0.0,0.0225,0.0,0.5366666666666666,0.01145,0.0
london,0.4286,0.057179487179487176,0.003236363636363636,0.0,0.0,0.027692307692307693,0.08944444444444444,0.0,0.0,0.0,0.2482608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19333333333333333,0.0895,0.0
lychee,0.0166,0.0056410256410256415,0.06,0.0304,0.04642857142857143,0.0038461538461538464,0.017222222222222222,0.023809523809523808,0.0248,0.036382978723404256,0.0004347826086956522,0.006363636363636364,0.16444444444444445,1.0909090909090909e-05,0.0,0.004666666666666667,0.0,0.009166666666666667,0.05,0.0376875,0.058823529411764705,3.5e-05,0.0030869565217391303,0.0033333333333333335,0.035,0.0,0.0,0.00495,0.0
macadamia nut,0.1582,0.9714102564102564,0.050254545454545455,0.00914,0.30714285714285716,0.06538461538461539,0.205,0.30952380952380953,0.1504,0.07829787234042553,0.002173913043478261,0.11818181818181818,0.84,6.545454545454545e-05,0.0,0.036,0.0,0.9958333333333333,0.12461538461538461,0.1545625,0.16176470588235295,2.75e-05,0.0,0.0,0.0275,0.0,0.0,0.60305,1.7960869565217392
mango,0.05,0.0,0.3090909090909091,0.12,0.17857142857142858,0.02923076923076923,0.0,0.0,0.0,0.18617021276595744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maple syrup,0.0,0.0,0.31516363636363637,0.17334,0.0,0.07692307692307693,0.0,0.0,0.0,0.06021276595744681,0.0008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
margarita,0.0016,0.0010256410256410256,0.05854545454545455,0.032200000000000006,0.0,0.0015384615384615385,0.005,0.002380952380952381,0.004,0.004680851063829788,0.08869565217391304,0.005454545454545455,0.005555555555555556,5.4545454545454545e-06,0.0,0.0,0.0,0.009166666666666667,0.006153846153846154,0.0001875,0.0,0.0,0.0003043478260869565,0.0,0.0,0.0,0.0,0.0003,0.0
marsala,0.0,0.7325641025641025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7639130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7145,0.0
martini,0.0014,0.0,0.0005454545454545455,0.0003,0.0,0.0007692307692307692,0.005,0.002380952380952381,0.004,0.0027659574468085106,0.0008695652173913044,0.0036363636363636364,0.022222222222222223,0.0,0.0,0.0,0.0,0.004166666666666667,0.0038461538461538464,0.0015625,0.002352941176470588,0.0,0.0003043478260869565,0.0,0.0,0.0,0.0,0.0,0.0
mayonnaise,0.0,0.9971794871794872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26565217391304347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18666666666666668,0.5555,0.0
meat,0.3572,0.14884615384615385,0.0,0.0,0.0,0.013846153846153847,0.035555555555555556,0.0,0.0,0.0,0.09695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19333333333333333,0.20099999999999998,0.0
melon,0.0132,0.0020512820512820513,0.030072727272727272,0.0148,0.025,0.005384615384615384,0.014444444444444444,0.02619047619047619,0.0104,0.03531914893617021,0.006956521739130435,0.019090909090909092,0.05555555555555555,1.6363636363636363e-05,0.09777777777777778,0.0026666666666666666,0.0,0.03333333333333333,0.015384615384615385,0.026875,0.03411764705882353,3e-05,0.002782608695652174,0.01583333333333333,0.03,0.0,0.0,0.00175,0.0
mezcal,0.0666,0.0,0.04847272727272727,0.00666,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
midori,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mint,0.0,0.0,0.38276363636363636,0.21052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
molasses,0.0,0.001282051282051282,0.2716363636363636,0.1494,0.0,0.1576923076923077,0.26222222222222225,0.5761904761904761,0.0248,0.31063829787234043,0.01608695652173913,0.026363636363636363,0.5411111111111111,0.00032363636363636367,0.0,0.0,0.0,0.034166666666666665,0.0015384615384615385,0.058125,0.3941176470588235,0.0,0.005782608695652174,0.0,0.0,0.0,0.0,0.0009,0.0
monterey jack,0.4666,0.38461538461538464,0.0,0.0,0.0,0.5130769230769231,0.0,0.0,0.0,0.0,0.2682608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0
mozzarella,0.4286,0.32051282051282054,0.012981818181818181,0.0,0.0,0.4123076923076923,0.0,0.0,0.0,0.0,0.07782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23666666666666666,0.7145,0.0
mushroom,0.0176,0.07935897435897436,0.019309090909090908,0.0,0.03214285714285714,0.02076923076923077,0.04888888888888889,0.0,0.0,0.07148936170212766,0.15782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0
mussel,0.302,0.03641025641025641,0.01698181818181818,0.0,0.0,0.025384615384615384,0.2777777777777778,0.10238095238095238,0.1992,0.08617021276595745,0.15739130434782608,0.18363636363636363,0.1322222222222222,0.001030909090909091,0.06444444444444444,0.04666666666666667,0.0,0.14333333333333334,0.1946153846153846,0.12,0.033529411764705884,0.0001,0.035782608695652175,0.0008333333333333334,0.1,0.0,0.11666666666666667,0.0269,0.0
mustard,0.085,0.043333333333333335,0.01927272727272727,0.00284,0.15357142857142858,0.04846153846153846,0.08833333333333333,0.11428571428571428,0.0864,0.031914893617021274,0.4782608695652174,0.05818181818181818,0.08222222222222222,0.0006181818181818182,0.0044444444444444444,0.023333333333333334,0.0,0.1575,0.05076923076923077,0.0350625,0.04058823529411765,1.75e-05,0.009739130434782608,0.0125,0.0175,0.0,0.0,0.0126,0.0
mustard greens,0.0706,0.0,0.017127272727272727,0.00236,0.125,0.08153846153846153,0.06555555555555556,0.0,0.0,0.07510638297872341,0.010434782608695653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nectarine,0.0212,0.0035897435897435897,0.03338181818181818,0.01578,0.05357142857142857,0.0015384615384615385,0.016666666666666666,0.02142857142857143,0.0208,0.027872340425531914,0.005652173913043478,0.019090909090909092,0.09111111111111111,0.0,0.023333333333333334,0.04066666666666666,0.0,0.028333333333333332,0.02076923076923077,0.07,0.014705882352941176,1.5e-05,0.0026956521739130435,0.016666666666666666,0.015,0.0,0.0,0.0,0.0
noodle,0.064,0.06794871794871794,0.06909090909090909,0.003,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nut,0.348846,0.4982051282051282,0.1319589090909091,0.0,0.14657142857142857,0.03226923076923077,0.33266666666666667,0.5966666666666667,0.42576,0.13580851063829788,0.0020691304347826085,0.461,2.4644444444444447,0.00037581818181818186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8473913043478261
nutmeg,0.0,1.2820512820512822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0
oat,0.0132,0.029871794871794873,0.019527272727272726,0.00408,0.017857142857142856,0.11923076923076924,0.011666666666666667,0.01904761904761905,0.016,0.003829787234042553,0.018695652173913044,0.017272727272727273,0.03222222222222222,2.7272727272727273e-05,0.0,0.024666666666666667,0.08499999999999999,0.019166666666666665,0.006153846153846154,0.0035,0.0029411764705882353,5e-06,0.0008695652173913044,0.0125,0.005,0.20833333333333334,0.0,0.00935,0.0
oatmeal,0.0,0.08551282051282051,0.24243636363636364,0.0,0.31785714285714284,0.2561538461538462,1.3333333333333333,0.0,0.0,0.0,0.004782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
octopus,0.264,0.16666666666666666,0.04872727272727273,0.0004,0.017857142857142856,0.04230769230769231,0.2733333333333333,0.06666666666666667,0.1312,0.06170212765957447,0.2252173913043478,0.13,0.3977777777777778,0.0006763636363636364,0.03888888888888889,0.21066666666666667,0.0,0.1375,0.07846153846153846,0.15875,0.15235294117647058,8.25e-05,0.024478260869565217,0.1,0.1175,0.0,0.14333333333333334,0.092,0.0
okra,0.06,0.0,0.02909090909090909,0.0,0.03571428571428571,0.06153846153846154,0.03,0.0,0.0,0.0,0.0013043478260869566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olive,0.0146,0.38461538461538464,0.015163636363636364,0.00032,0.06428571428571428,0.046153846153846156,0.18888888888888888,0.011904761904761904,0.0024,0.003617021276595745,0.3630434782608696,0.01090909090909091,0.18,1.2727272727272727e-05,0.015555555555555555,0.4093333333333333,0.0,0.006666666666666667,0.0015384615384615385,0.005625,0.00823529411764706,2.5e-06,0.004130434782608695,0.0525,0.0025,0.0,0.0,0.2425,0.0
onion,0.2188,0.01,0.21592727272727272,0.01406,0.08214285714285714,0.012307692307692308,0.19555555555555557,0.0,0.0,0.0,0.18695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.2553846153846154,0.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orange,0.0952,0.0,0.3290181818181818,0.18096,0.0,0.0,0.0,0.0,0.0,0.0,0.1656521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orange juice,0.0166,0.0,0.039381818181818184,0.01834,0.0,0.1123076923076923,0.0,0.023809523809523808,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104375,0.019411764705882354,6.25e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oregano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orzo,0.25,0.02294871794871795,0.2857090909090909,0.00714,0.12857142857142856,0.0,0.17833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.23384615384615384,0.3348125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oyster,0.099,0.13846153846153847,0.0669090909090909,0.00524,0.04285714285714286,0.07461538461538461,0.13444444444444445,0.04285714285714286,0.0536,0.02893617021276596,0.21869565217391304,0.9090909090909091,0.8033333333333333,0.00022727272727272727,0.1111111111111111,0.08933333333333333,0.02,0.12333333333333334,0.08692307692307692,0.115,0.041176470588235294,8e-05,0.010521739130434783,0.2708333333333333,0.115,0.0,0.03333333333333333,0.107,0.0
papaya,0.05,0.0,0.23636363636363636,0.08,0.35714285714285715,0.11538461538461539,0.0,0.0,0.0,0.0,0.00782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paprika,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parmesan,0.5684,0.3569230769230769,0.05058181818181818,0.00014,0.0,0.6561538461538462,0.02722222222222222,0.08095238095238096,0.5016,0.03829787234042553,0.7843478260869565,0.38181818181818183,0.044444444444444446,0.0006254545454545455,0.2911111111111111,0.035333333333333335,0.025,0.021666666666666667,0.2753846153846154,0.005,0.04764705882352941,1.5e-05,0.0061304347826086954,0.014166666666666666,0.015,0.0,0.2866666666666667,0.76855,0.030869565217391304
parsley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parsnip,0.0258,0.03641025641025641,0.06,0.0093,0.125,0.027692307692307693,0.03111111111111111,0.06666666666666667,0.0536,0.07574468085106383,0.056956521739130433,0.022727272727272728,0.14888888888888888,2.9090909090909093e-05,0.012222222222222223,0.09,0.0,0.06666666666666667,0.038461538461538464,0.0438125,0.06235294117647059,0.00014,0.011478260869565217,0.025833333333333333,0.14,0.0,0.006666666666666667,0.03575,0.0
passion fruit,0.0222,0.0,0.024254545454545456,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0026086956521739132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,0.25,0.02294871794871795,0.2857090909090909,0.00714,0.12857142857142856,0.0,0.17833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.23384615384615384,0.3348125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pastry,0.148,0.4935897435897436,0.16618181818181818,0.0015,0.05357142857142857,0.007692307692307693,0.14444444444444443,0.0380952380952381,0.048,0.013191489361702127,0.11,0.04909090909090909,0.12777777777777777,0.00044545454545454543,0.0,0.03666666666666667,0.0,0.26916666666666667,0.19846153846153847,0.2375,0.011176470588235295,0.0001375,0.0026956521739130435,0.13583333333333333,0.2175,0.0,0.0,0.275,0.0
pea,0.282,0.18076923076923077,0.22618181818181818,0.0282,0.1357142857142857,0.09461538461538462,0.2111111111111111,0.24285714285714285,0.216,0.15574468085106383,0.13043478260869565,0.3009090909090909,0.49333333333333335,0.0001309090909090909,0.08555555555555555,0.154,0.0,0.5116666666666667,0.24153846153846154,0.31625,0.32235294117647056,0.000345,0.025173913043478262,0.41916666666666663,0.345,0.0,0.0,0.2645,0.0
peach,0.0888,0.28487179487179487,0.19392727272727273,0.05778,0.07857142857142857,0.016923076923076923,0.08888888888888889,0.0,0.0,0.0,0.14956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11615384615384615,0.111125,0.0,9e-05,0.0,0.0,0.0,0.0,0.22333333333333333,0.222,0.0
peanut,0.1818,0.3496153846153846,0.2204,0.10304,0.10714285714285714,0.04692307692307692,0.06055555555555556,0.0,0.0,0.0,0.01956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5305,0.0
peanut butter,0.444,0.658974358974359,0.08109090909090909,0.021,0.17857142857142858,0.03769230769230769,0.09666666666666666,0.4,0.268,0.11872340425531915,0.18521739130434783,0.22818181818181818,0.4688888888888889,7.454545454545454e-05,0.0,0.6066666666666667,0.0,0.125,0.1476923076923077,0.81875,0.25941176470588234,0.0002175,0.027391304347826086,0.0025,0.2175,0.0,0.0,0.515,0.0
pear,0.0074,0.0019230769230769232,0.05527272727272727,0.01946,0.11071428571428571,0.006923076923076923,0.01,0.016666666666666666,0.0088,0.022127659574468085,0.0013043478260869566,0.008181818181818182,0.08555555555555555,1.8181818181818183e-06,0.0011111111111111111,0.008,0.0,0.01,0.02,0.010125,0.01647058823529412,1.75e-05,0.002217391304347826,0.035,0.0175,0.0,0.0,0.0011,0.0
pecan,0.1834,0.9226923076923077,0.0504,0.00794,0.34285714285714286,0.05384615384615385,0.14055555555555554,0.28809523809523807,0.2216,0.08723404255319149,0.0,0.4118181818181818,1.3333333333333333,6.909090909090908e-05,0.0033333333333333335,0.09333333333333334,0.0,0.55,0.1,0.0729375,0.12352941176470589,5.5e-05,0.017608695652173913,0.029166666666666667,0.055,0.0,0.0,0.309,1.9565217391304348
pepper,0.0,0.0,0.24243636363636364,0.0,1.189285714285714,0.33615384615384614,1.6055555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pernod,0.1518,0.26782051282051283,0.057527272727272726,0.00126,0.04642857142857143,0.1576923076923077,0.17555555555555555,0.0,0.0,0.02106382978723404,0.18695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.6015,0.0
persimmon,0.0308,0.008461538461538461,0.34945454545454546,0.1602,0.34285714285714286,0.016923076923076923,0.023333333333333334,0.05714285714285714,0.036,0.09127659574468085,0.0013043478260869566,0.02727272727272727,0.33666666666666667,3.454545454545454e-05,0.12,0.12933333333333333,0.0,0.04666666666666667,0.04384615384615385,0.0149375,0.14058823529411765,2.75e-05,0.008782608695652174,0.0575,0.0275,0.0,0.0,0.00265,0.0
pine nut,0.274,0.8769230769230769,0.047636363636363636,0.00718,0.13214285714285715,0.012307692307692308,0.30722222222222223,0.5976190476190476,0.46,0.1270212765957447,0.0008695652173913044,0.5863636363636363,1.4666666666666666,1.2727272727272727e-05,0.0011111111111111111,0.622,0.0,0.30333333333333334,0.17461538461538462,0.274375,0.05529411764705883,8.5e-05,0.02426086956521739,0.44916666666666666,0.085,0.0,0.0,0.245,0.0
pineapple,0.0,0.0,0.2857090909090909,0.12858000000000003,0.15357142857142858,0.027692307692307693,0.035555555555555556,0.0,0.0,0.0,0.00782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pistachio,0.4,0.5983333333333334,0.09698181818181818,0.01334,0.35714285714285715,0.10230769230769231,0.26666666666666666,0.47619047619047616,0.4,0.0,0.16652173913043478,0.0,1.481111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.3335,0.0
plantain,0.0456,0.37948717948717947,0.232,0.00184,0.125,0.006923076923076923,0.05388888888888889,0.16904761904761906,0.0624,0.1672340425531915,0.08782608695652173,0.03363636363636364,0.22,7.272727272727273e-06,0.07666666666666666,0.336,0.0,0.05416666666666667,0.03076923076923077,0.050125,0.27058823529411763,8.75e-05,0.0,0.23833333333333334,0.0875,0.0,0.0,0.417,0.0
plum,0.014,0.0035897435897435897,0.04145454545454545,0.01984,0.05,0.004615384615384616,0.009444444444444445,0.016666666666666666,0.0128,0.03340425531914894,0.0,0.00909090909090909,0.06333333333333334,0.0,0.01888888888888889,0.017333333333333333,0.0,0.023333333333333334,0.02,0.0260625,0.017058823529411765,1.25e-05,0.0008260869565217392,0.05333333333333334,0.0125,0.0,0.0,0.00085,0.0
poach,0.248,0.1276923076923077,0.003490909090909091,0.0004,0.0,0.036923076923076927,0.09277777777777778,0.02619047619047619,0.1472,0.028085106382978724,0.05608695652173913,0.11272727272727273,0.0,0.0005654545454545455,0.2,0.07,0.125,0.051666666666666666,0.30615384615384617,0.0,0.03529411764705882,0.0001325,0.11652173913043479,0.0025,0.1325,0.0,1.37,0.16,0.0
poblano,0.1142,0.5128205128205128,0.12469090909090909,0.0,0.20357142857142857,0.07307692307692308,0.2111111111111111,0.0,0.0,0.17319148936170212,0.3352173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2855,0.0
pomegranate,0.0,0.0,0.043927272727272725,0.02416,0.0,0.006153846153846154,0.0,0.0,0.0,0.0,0.006521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomegranate juice,0.0,0.0,0.044690909090909094,0.02204,0.0,0.03230769230769231,0.0,0.0,0.0,0.06191489361702128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poppy,0.0184,0.42692307692307685,0.08618181818181818,0.0468,0.010714285714285714,0.045384615384615384,0.013888888888888888,0.02142857142857143,0.0392,0.01297872340425532,0.4056521739130435,0.022727272727272728,0.03888888888888889,2.1818181818181818e-05,0.056666666666666664,0.15733333333333333,0.005,0.02,0.04461538461538461,0.0029375,0.012941176470588235,7.5e-06,0.0026086956521739132,0.41833333333333333,0.0075,0.0,0.05,0.303,0.0
pork,0.4286,0.057179487179487176,0.0,0.0,0.0,0.0,0.07166666666666667,0.0,0.0,0.0,0.09304347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.134,0.0
pork chop,0.368,0.1158974358974359,0.028436363636363638,0.0,0.03571428571428571,0.011538461538461539,0.04055555555555555,0.05238095238095238,0.1392,0.06234042553191489,0.18,0.12181818181818181,0.0811111111111111,0.0007381818181818182,0.03111111111111111,0.028666666666666667,0.02,0.37333333333333335,0.12538461538461537,0.36125,0.24176470588235294,8.75e-05,0.024956521739130436,0.025833333333333333,0.1425,0.0,0.15333333333333332,0.1335,0.0
pork rib,0.324,0.1935897435897436,0.044,0.01978,0.010714285714285714,0.03230769230769231,0.04611111111111111,0.0380952380952381,0.0968,0.05021276595744681,0.29478260869565215,0.19818181818181818,0.10666666666666667,0.0004127272727272727,0.0077777777777777776,0.027333333333333334,0.04,0.27166666666666667,0.19,0.3425,0.18176470588235294,2.5e-06,0.024652173913043477,0.004166666666666667,0.0025,0.0,0.19333333333333333,0.2715,0.0
pork tenderloin,0.3572,0.028589743589743588,0.009745454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13217391304347825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0445,0.0
port,0.4756,0.36153846153846153,0.0020727272727272725,0.00114,0.0,0.5,0.02388888888888889,0.05714285714285714,0.288,0.02893617021276596,0.23217391304347826,0.23636363636363636,0.024444444444444446,0.0002636363636363636,0.35,0.016,0.025,0.011666666666666667,0.18461538461538463,0.00375,0.031176470588235295,4.5e-05,0.0066956521739130435,0.02,0.045,0.0,0.41,0.8345499999999999,0.004782608695652174
potato,0.0778,0.14487179487179488,0.04909090909090909,0.00296,0.05357142857142857,0.025384615384615384,0.041666666666666664,0.030952380952380953,0.0616,0.046595744680851064,0.09521739130434782,0.04,0.02,0.00011454545454545455,0.07111111111111111,0.104,0.025,0.08916666666666667,0.11,0.062,0.054705882352941174,4.75e-05,0.02334782608695652,0.06666666666666667,0.0575,0.0,0.24666666666666667,0.1555,0.0
poultry,0.0142,0.03358974358974359,0.019236363636363635,0.0006,0.0035714285714285713,0.007692307692307693,0.005,0.007142857142857143,0.016,0.008936170212765958,0.1691304347826087,0.007272727272727273,0.021111111111111112,7.272727272727273e-06,0.0011111111111111111,0.006666666666666667,0.0,0.02,0.040769230769230766,0.0178125,0.014705882352941176,5e-06,0.001608695652173913,0.005,0.005,0.0,0.016666666666666666,0.03195,0.0
poultry sausage,0.0142,0.03358974358974359,0.019236363636363635,0.0006,0.0035714285714285713,0.007692307692307693,0.005,0.007142857142857143,0.016,0.008936170212765958,0.1691304347826087,0.007272727272727273,0.021111111111111112,7.272727272727273e-06,0.0011111111111111111,0.006666666666666667,0.0,0.02,0.040769230769230766,0.0178125,0.014705882352941176,5e-06,0.001608695652173913,0.005,0.005,0.0,0.016666666666666666,0.03195,0.0
prosciutto,0.5,0.27474358974358976,0.0,0.0,0.0,0.0,0.07166666666666667,0.0,0.0,0.0,0.9939130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2966666666666667,0.625,0.0
prune,0.042,0.002564102564102564,0.2367272727272727,0.078,0.11785714285714285,0.023846153846153847,0.15555555555555556,0.0,0.0576,0.18127659574468086,0.01,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.03333333333333333,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0
pumpkin,0.016,0.0,0.032,0.0064,0.11428571428571428,0.018461538461538463,0.08888888888888889,0.0,0.0,0.0,0.0017391304347826088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
